# A multilayer network using explicit format.
# Figure 3
*Vertices 94. Trees: 19; Animals: 75.
# node_id name
2 34 2 8 0
2 35 2 8 0
2 36 2 8 0
2 37 2 8 0
2 38 2 8 0.5
2 39 2 8 0
2 40 2 8 0.5
2 41 2 8 0
2 42 2 8 1
2 43 2 8 0
2 44 2 8 0
2 45 2 8 0
2 46 2 8 0
2 47 2 8 0
2 48 2 8 0
2 49 2 8 0
2 50 2 8 0
2 51 2 8 0
2 52 2 8 0
2 53 2 8 0
2 54 2 8 0
2 55 2 8 0
2 56 2 8 0
2 57 2 8 0
2 58 2 8 4
2 59 2 8 0.5
2 60 2 8 1.5
2 61 2 8 3
2 62 2 8 0
2 63 2 8 0.5
2 64 2 8 0.5
2 65 2 8 0.5
2 66 2 8 0
2 67 2 8 33
2 68 2 8 25
2 69 2 8 1
2 70 2 8 1
2 71 2 8 4.5
2 72 2 8 16
2 73 2 8 1
2 31 2 9 0
2 32 2 9 0
2 33 2 9 0
2 34 2 9 0
2 35 2 9 0
2 36 2 9 2.5
2 37 2 9 0.5
2 38 2 9 0
2 39 2 9 4
2 40 2 9 0.5
2 41 2 9 1
2 42 2 9 1.5
2 43 2 9 2
2 44 2 9 48
2 45 2 9 0.5
2 46 2 9 0.5
2 47 2 9 7
2 48 2 9 0
2 49 2 9 0.5
2 50 2 9 0
2 51 2 9 0.5
2 52 2 9 0.5
2 53 2 9 0.5
2 54 2 9 0
2 55 2 9 1
2 56 2 9 0.5
2 57 2 9 0.5
2 58 2 9 0
2 59 2 9 0
2 60 2 9 1.5
2 61 2 9 0
2 62 2 9 0
2 63 2 9 0
2 64 2 9 0
2 65 2 9 0
2 66 2 9 0
2 67 2 9 83
2 68 2 9 1
2 69 2 9 0
2 70 2 9 0
2 71 2 9 0
2 72 2 9 0.5
2 73 2 9 0
2 31 2 10 0.5
2 32 2 10 0
2 33 2 10 0
2 34 2 10 0
2 35 2 10 0
2 36 2 10 0
2 37 2 10 0
2 38 2 10 0
2 39 2 10 0.5
2 40 2 10 0
2 41 2 10 0
2 42 2 10 0.5
2 43 2 10 0
2 44 2 10 1.5
2 45 2 10 0
2 46 2 10 0
2 47 2 10 0
2 48 2 10 0
2 49 2 10 0
2 50 2 10 0
2 51 2 10 0
2 52 2 10 0
2 53 2 10 0
2 54 2 10 0
2 55 2 10 0
2 56 2 10 0
2 57 2 10 0
2 58 2 10 0.5
2 59 2 10 0
2 60 2 10 0
2 61 2 10 0
2 62 2 10 0
2 63 2 10 0
2 64 2 10 1
2 65 2 10 0
2 66 2 10 0
2 67 2 10 14.5
2 68 2 10 11
2 69 2 10 1
2 70 2 10 0
2 71 2 10 0
2 72 2 10 5.5
2 73 2 10 0
2 31 2 11 0
2 32 2 11 0
2 33 2 11 0
2 34 2 11 0
2 35 2 11 0
2 36 2 11 0
2 37 2 11 0
2 38 2 11 0
2 39 2 11 2.5
2 40 2 11 0
2 41 2 11 0
2 42 2 11 1
2 43 2 11 0
2 44 2 11 0.5
2 45 2 11 0
2 46 2 11 0
2 47 2 11 0
2 48 2 11 0
2 49 2 11 0
2 50 2 11 0
2 51 2 11 0
2 52 2 11 0
2 53 2 11 0
2 54 2 11 0
2 55 2 11 0
2 56 2 11 0
2 57 2 11 0
2 58 2 11 7
2 59 2 11 0
2 60 2 11 0
2 61 2 11 0.5
2 62 2 11 0
2 63 2 11 0
2 64 2 11 1.5
2 65 2 11 0
2 66 2 11 0.5
2 67 2 11 7.5
2 68 2 11 5.5
2 69 2 11 1
2 70 2 11 0
2 71 2 11 3.5
2 72 2 11 4.5
2 73 2 11 0
2 31 2 12 0
2 32 2 12 0
2 33 2 12 0
2 34 2 12 0
2 35 2 12 0
2 36 2 12 0
2 37 2 12 0
2 38 2 12 0
2 39 2 12 0.5
2 40 2 12 0
2 41 2 12 0
2 42 2 12 0.5
2 43 2 12 0
2 44 2 12 28
2 45 2 12 0
2 46 2 12 0
2 47 2 12 0
2 48 2 12 0
2 49 2 12 0.5
2 50 2 12 0
2 51 2 12 0.5
2 52 2 12 0
2 53 2 12 0
2 54 2 12 0
2 55 2 12 0
2 56 2 12 0
2 57 2 12 0
2 58 2 12 28.5
2 59 2 12 1.5
2 60 2 12 1.5
2 61 2 12 3.5
2 62 2 12 0
2 63 2 12 0
2 64 2 12 0
2 65 2 12 0
2 66 2 12 0
2 67 2 12 1.5
2 68 2 12 1
2 69 2 12 0
2 70 2 12 0
2 71 2 12 0
2 72 2 12 0
2 73 2 12 0
2 31 2 13 0
2 32 2 13 0
2 33 2 13 0
2 34 2 13 0
2 35 2 13 0
2 36 2 13 0
2 37 2 13 0
2 38 2 13 0
2 39 2 13 0.5
2 40 2 13 0
2 41 2 13 0
2 42 2 13 0
2 43 2 13 0
2 44 2 13 2.5
2 45 2 13 0
